,source_id,ra,dec,parallax,pmra,pmdec,bp_rp,phot_g_mean_mag,cluster,prob
81,3218828197351393024,88.4734717422629,0.29265238738578586,3.76261617351524,-2.3289361730232128,6.187050832163035,1.5840397,20.750322,1,0.9999849894839028
84,3218828261773902080,88.4330634232806,0.289934381412933,1.6077092916411724,11.542306704576257,-7.108590490955456,2.430973,19.906971,1,0.9999999999971044
95,3218828364856343296,88.43302054116344,0.3065253695671747,1.9609017566067104,-3.6147880925081033,-7.598234403686942,2.103716,20.436886,1,0.9999999963419944
96,3218828369149518336,88.44055736103896,0.31216020772157244,2.069283095906276,10.897137648476072,-6.953140954013662,1.5947247,15.294238,1,0.9999999999995844
98,3218828369149518592,88.44237839507669,0.3103726212335695,1.2186822097789989,-7.594888135639322,-8.90705578895189,1.6645708,15.978573,1,1.0
101,3218828399213758592,88.4581809659906,0.3038348539173,1.3904846871164944,6.07544056726706,-9.7013170259001,2.7066498,18.050634,1,0.9997672991687736
102,3218828399213758720,88.46229245860745,0.3040499518599499,-0.08299429776965912,-5.218528787180719,-1.7184836898041251,1.7256527,17.598469,1,0.9962503347579308
110,3218828467932068352,88.44685800980966,0.3178579027540201,0.6914623118571348,4.866700739713592,-15.653236995634785,1.59725,19.547606,1,0.9999999598339651
125,3218828609668251648,88.4860186490005,0.3153197009851698,2.222462392086704,1.4008791395394107,-7.569309676595435,1.6540966,18.867842,1,0.9999735579312148
139,3218828747106611840,88.51106900140378,0.33293994659332665,1.3754690348371272,-1.2785664023498438,-8.25700964606942,1.9444933,16.54559,1,0.9999721523559256
160,3218828914612249984,88.47530186258952,0.343003581571545,1.0002942219340036,0.16870083776876638,-11.898886307155113,3.19174,19.792927,1,0.9999999064690436
171,3218829017687894272,88.49418148807513,0.35634251194942285,0.9466228975066372,3.0700723047810694,-7.941554125193328,2.2510948,19.422173,1,0.794248225986418
173,3218829017691522816,88.4999597402762,0.3531338685877209,4.772011156488592,1.5450266251495717,3.2066786267003,2.6945095,20.837044,1,0.9999999999999982
194,3218829739248427136,88.38024820807415,0.290425666708992,1.45032181297422,3.152772567293284,1.2518177527178709,2.0244446,20.638609,1,0.5125994958095642
212,3218829846618288256,88.39045354156471,0.29538480487981944,0.6988418747377936,1.4591116416123233,-11.69188583768416,1.9694204,12.775772,1,0.9999830546192308
222,3218829945401981056,88.37024248136356,0.2960889734425226,0.7683062461531414,1.9053084968950864,5.418723388456619,1.9205971,18.836653,1,0.5107020548661924
231,3218830014123635456,88.34390520411785,0.306160678902102,0.6937269889983853,5.347136903474984,-9.34107083691388,1.595232,20.55202,1,0.9272017636864054
235,3218830048482784256,88.37062160805809,0.30243010846402385,2.7375183927162463,-10.174881471704827,2.44470452101392,2.9197502,19.704268,1,0.9999999962441991
236,3218830052776722176,88.36993305160883,0.3035882065300856,1.1109612124388506,4.890390560720476,8.741227230039367,2.0398464,17.849562,1,0.9999999992690274
237,3218830082840045696,88.38840455038465,0.3171107528119312,6.576943342071598,3.5920847296959817,-3.9382860505149297,1.812315,20.720198,1,1.0
241,3218830082840947200,88.38032217539238,0.32072800735376594,2.666289256978484,0.5928793939260392,-2.5900337417760944,2.8884048,18.99142,1,0.9982286045722498
260,3218830808690972800,88.31870683352886,0.3252918282548121,6.496783872065759,46.72228612292306,-27.60948707008101,2.72583,17.133526,1,1.0
264,3218830907473496704,88.36137656878876,0.3409664529495607,1.6958033171078344,3.8086464196734084,-1.4914011579953192,2.8634338,18.681404,1,0.8481144895103895
265,3218830907474222848,88.3631783526922,0.3447009214072278,-4.205326371018734,-4.821367326310057,5.167035752029852,2.4557304,20.718094,1,1.0
266,3218830907476862848,88.3641256284037,0.3363899697424513,2.387794854207712,-4.582125122848369,1.8719143135257168,1.0808678,20.75455,1,0.8175174545103215
279,3218831049209137280,88.31796285161295,0.3439064032715313,1.1936939999560336,-0.2580915627648804,-15.998370869132412,1.669261,15.783399,1,1.0
286,3218831152287321856,88.33683781213543,0.3484887578020782,1.1276303671121457,2.0886949852751573,-15.390984856683419,2.612009,20.045479,1,0.9999999999752128
308,3218831285430614144,88.42199334378759,0.3100163740906543,0.6880956183345958,8.270419721824693,-7.446073899153715,2.2377586,19.917406,1,0.9983888857405934
311,3218831285431784960,88.42678897838684,0.3092305563833366,0.7161577831051612,-0.9678038655199328,-5.464369296751083,2.0770512,19.219255,1,0.6302657799127571
321,3218831388509830528,88.41494796409323,0.3304636943706241,2.4969269758078987,0.7844235661359913,2.0511855858032804,1.3691597,20.623388,1,0.9303064288621896
329,3218831461525962112,88.4489406602377,0.3329191995891791,3.363849719134887,-4.894162002625638,-7.589666071006513,2.6321964,16.743694,1,1.0
341,3218831530244379008,88.43128707169208,0.34331364113243085,2.0527751795114453,2.1267877789738323,1.703956563155089,2.2305145,20.201534,1,0.847522867862338
