source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp
427594368330074368,10.801216215712424,0.1553474,61.847654308570434,0.1618726,0.4097415661826694,0.22771002,-1.543799424461059,0.2057476,-0.746900678116817,0.22297047,19.100016,2.3764458
427594372623368704,10.801445507903964,0.8161921,61.84980963136943,0.6928639,-0.10119174637910455,0.952822,-2.1035230811245746,1.1423709,-0.3157929849998132,1.1454233,20.587172,
427594372623371648,10.801245499607797,0.6098342,61.84860705467199,0.51839596,1.858317930591518,0.6997819,-8.273730342583354,0.72667325,9.671169591735413,0.7236686,20.05486,
427594372625484928,10.78543252897732,1.2548237,61.85756905712567,0.9577724,-0.1339227657471695,1.4301256,3.3164925003224246,1.5148902,-3.6416937224195003,1.5884607,20.53143,2.4080067
427594372625490048,10.794058538641051,0.45926172,61.84748184884515,0.5096868,0.2383111329966452,0.6667401,-4.804725735315383,0.6484021,-0.29267501799729434,0.7998011,20.522972,1.7106533
427594372625490304,10.803401955407196,0.41293094,61.85053665424717,0.44598308,-0.6038335666778014,0.6005283,-1.745031750834643,0.59608835,-1.1703771610549536,0.73940396,20.389063,1.6543789
427594372625491328,10.803981036803274,0.5690088,61.84577363851233,0.5634439,1.4873818054725796,0.80852675,-5.528458366681988,0.80389535,1.5066063159143244,0.84684503,20.54138,1.8735905
427594372628950656,10.79499116220587,0.06556226,61.85393937574775,0.07086537,0.3760432277267637,0.095841326,-4.43165680828525,0.09073732,-0.2862231220229631,0.09997494,17.830492,1.9549999
427594372628951040,10.801564996086665,0.040699948,61.84887267220706,0.045765776,0.2853929276558352,0.060690362,-1.8467087134458133,0.056234684,-0.6180696312563205,0.06874936,16.756565,1.6060419
427594372628951552,10.796868138062052,0.02675843,61.84426277215476,0.0297724,0.3136610573133333,0.03951389,0.0482500697101075,0.037675228,0.22506333002397605,0.043866534,16.192709,2.5022697
427594372629233536,10.785517997792162,0.85725886,61.85733241647454,0.7029786,-1.5128947271186082,1.0456156,-0.46822973473633456,1.3226594,1.1751311362595644,1.1090204,20.636118,2.0742188
427594402687961600,10.795323507226717,0.10467663,61.8564101360266,0.119679816,0.5445444310153367,0.15490189,-3.0602142956664937,0.14451833,-0.2668479477579147,0.1762684,18.62499,1.9726849
427594402688007808,10.782282963782434,0.12109934,61.86595304350532,0.12926947,0.4095104975787459,0.17094325,-8.438848814127903,0.16939138,-2.917090525008535,0.1945198,18.665577,1.9434834
427594402688015872,10.781520293056987,0.1357501,61.86774026912786,0.14906792,1.1705239455478837,0.19437473,10.118411499782576,0.1836321,-8.034960676900088,0.22065575,18.944006,2.6726875
427594402688937728,10.788339267198428,0.23207131,61.86473570498299,0.23650959,-0.12525741790069422,0.32925597,-1.4193467413258476,0.3149199,-0.15701154664431516,0.3254657,19.62159,2.296173
427594402689812096,10.779958509016364,0.41459718,61.86188672866327,0.46050748,2.111423159397451,0.5946584,1.6484911252283747,0.5755422,-1.330471442224535,0.7572226,20.31855,3.0732002
427594402689812224,10.785672038765645,0.046475496,61.86691786439613,0.048734162,0.41132976923539516,0.066094935,-2.4052467454628434,0.063962124,-0.6842897254735176,0.07105405,17.238,1.5945854
427594406983083776,10.78267217351846,0.28438777,61.86405118097141,0.29432732,0.0920850824016559,0.4069011,-1.3751693314731601,0.3842915,-0.5478388962430311,0.40970582,19.96235,2.0179863
427594406983097728,10.806741800096795,0.18985587,61.856954762934706,0.19058985,0.2361007943942742,0.27249792,5.372596313005663,0.2543614,-3.342967207862307,0.26543036,19.37856,2.2904606
427594406985220224,10.781416174805475,0.47972137,61.861301132753994,0.53876084,0.5160797549412314,0.67109936,-2.297779117426438,0.65890795,0.5891140171956197,0.8885053,20.549614,1.7027111
