source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,g_rp
3218718929087720448,88.3848282690892,0.11975056865646745,0.4889628466986039,-0.5897882637672375,-0.24508269225641244,18.309843,1.22789,0.71541405
3218718963447449728,88.3986599100137,0.11480316073465391,0.3216655377419141,0.02933197550097504,-11.195459380583983,20.133497,2.000145,0.9306469
3218718963447466240,88.39172234704454,0.12308407717245677,2.1093897294769643,0.3723678572394494,3.140961419981634,19.874125,1.7396812,0.99051857
3218718963447468288,88.39046478910602,0.12438338937773301,-0.05958625443467119,3.132203095190409,-1.4840240427551752,19.350195,1.6557407,0.95931244
3218718967742062080,88.39569609578825,0.12632740466987555,0.26095351832210467,-0.1802218779396841,-1.7225443823197348,17.013922,2.1842098,1.0411758
3218718997806947968,88.41527541986417,0.12751818497446726,,,,20.746262,1.9372272,1.4380054
3218718997807189888,88.4207020945608,0.1155502633356,0.11408364199190862,1.7894609060303368,-0.37666651108494764,18.143148,1.6392498,0.87324715
3218718997807193472,88.41957644414073,0.11813208383071448,0.2959936738589116,-0.14375483720552354,-1.866995341955703,18.453463,1.5712242,0.89946556
3218718997807723392,88.41918305448675,0.11740266230854444,1.2178429316665416,-1.8424614852202486,-0.21684713210961543,19.745153,1.6969662,1.0395241
3218719002101282176,88.42296020662515,0.11826111378214972,-0.18110523129566414,-0.6110913089149114,-1.1349341879049741,19.91934,1.5087929,0.86447144
3218719002102222336,88.42196745975141,0.12086903022465106,0.8225566611572888,0.2555017778723562,-7.668461765883007,13.35604,0.85076714,0.5152359
3218719032166296192,88.42837449155097,0.13054445044484556,2.396436532764156,-2.2160254448492043,-9.772066847916,19.4654,2.936596,1.3394146
3218719032166961408,88.42702667927709,0.13223015016504744,0.5279022372608746,0.5720809137190118,-0.05130859276364984,19.479725,1.5924644,0.8967018
3218719036461017216,88.43089552319975,0.1318256794392629,1.1416545802029228,-1.4337221383092922,0.10901006228702227,20.108662,1.467186,0.9126797
3218719066526685312,88.4058051439419,0.12536807227854863,0.08871656627497859,0.1168597899436476,0.18847079771684302,20.260792,1.664648,0.8348808
3218719066526688384,88.40825799670785,0.1268618106140859,-0.06743897320154171,0.45680387892252866,-0.1407509176083722,19.668188,1.4812698,0.82894516
3218719100889154944,88.4162049655325,0.14374502941612577,,,,20.739607,2.3955803,1.3626766
3218719105181006720,88.42637226083531,0.13950686298072432,1.0898212943644405,13.255538647998858,-15.297596281695826,17.432537,1.9868336,0.9597244
3218729756700727424,88.27733458472542,0.11863885071160968,-0.7634337024357587,-1.2366448640122627,0.46303037748248,19.625473,1.6774597,0.95230675
3218729821124132736,88.27153602505864,0.12154301203587493,3.7680655857130185,-28.81287359244812,-107.86759248117801,19.604498,1.746458,1.3117218
3218730027283240320,88.25673318950722,0.13268593520480435,0.4203102664253276,0.9793850916893045,0.5232525899041223,18.303513,2.023323,0.99170876
3218730027285803392,88.25731932721015,0.13234649959689723,1.007135309809486,-2.2258768669254105,4.370765931476471,18.115665,2.421709,1.1395683
3218730031578571776,88.26092431078256,0.13234829737658055,,,,20.931759,1.2313633,1.0687714
3218730096002063232,88.25167621490453,0.14080933341909674,1.0333238651185106,0.6870902779591939,-5.385195228893745,18.957647,2.876566,1.2443104
3218730096002728320,88.24742953464583,0.13781995091809757,0.21697557914174692,0.6019524214102451,0.3091539152513521,18.816711,1.7141342,0.9304066
3218735078167368320,88.27715172692629,0.19653773018699092,,,,20.92693,1.5917721,0.95667267
3218730164721654784,88.34583098040537,0.09266934574815704,0.3625256631250464,-0.12089263219845116,-1.7741210729322332,19.590992,2.3507729,1.1770039
3218730164722134144,88.34071531736178,0.10092514012657239,0.490756092743058,-0.6412045454235448,1.0917234839138892,19.384832,1.5292702,0.85334206
3218730169016794368,88.33423948863813,0.09667687694919781,-0.10813500018013017,-0.427461492831134,-1.5072331064999078,18.547728,1.7541409,0.9172611
3218730233441136384,88.32560902664225,0.10704456970494738,-0.9625915272091662,-2.0272144330909003,4.246897461902309,20.40045,2.0093975,1.272707
3218730233441620224,88.33530053629116,0.10692720177655177,1.120914811442121,-2.3160772790735833,3.039027870048626,18.879,2.2415104,1.0722237
3218730267801164928,88.34863797512197,0.10766637338862686,0.6604031878657934,-1.0264707608034418,-5.098563501634106,12.975919,2.0522184,1.0203047
3218730267801342720,88.3559744322067,0.09725700269098418,0.12509827433444987,-2.9071874679218195,0.43354406728562744,18.833162,1.6189804,0.8596802
3218730267801354368,88.35224478914944,0.10553760952298998,0.3844711214215149,-2.387732937007597,-5.409360593795333,19.28633,2.4511986,1.0469055
3218730272094864512,88.34894087170947,0.10759403258065833,,,,17.460129,,
3218730302160779648,88.36275931032088,0.11233002077837051,0.8040501520454374,-0.5895544947373199,-0.21347462426139158,20.152483,1.4239349,0.8743973
3218730302161091968,88.36286551901335,0.10313065919582716,0.4002791526660778,2.1231942144116225,-0.2965327872745626,16.74139,1.5293255,0.8220825
3218730302161103616,88.36527827010896,0.11006292991753507,1.1900605825396948,-0.190546965126712,-21.15612385654347,17.644028,1.9135437,0.9697685
3218730302161109376,88.36700889678954,0.11392646268686603,0.11792267029268438,0.5965825514907516,0.1472360422200869,19.820154,1.2395267,0.79179
3218730302161109504,88.36433700397484,0.1135026244976331,0.4785879202295866,0.33160455560186625,1.3336541643662532,18.116451,1.6345501,0.8793411
3218730302163826432,88.36361518223632,0.11191258667550376,0.47913625770944257,-0.5347101788570727,2.558335131550467,20.417177,1.7085247,1.1764832
3218730336520200576,88.33820419948769,0.11150619378299528,-0.4652688651793767,-1.7552051265209017,-2.673232600263608,20.50592,1.3356609,0.98514366
3218730336520641408,88.34822275506954,0.11340666703162482,2.8431065630406245,-13.392061533454397,-7.869672693045825,11.4284725,0.7951565,0.48119354
3218730336520837888,88.33817398277016,0.10801966089724922,0.34717733840855636,0.5301302542530993,0.9266273991645554,17.611687,1.5657825,0.8373871
3218730336523542656,88.33923032243423,0.11049805211164733,-1.229885742944386,1.0118764284218091,-0.7605895953519746,20.532932,1.2666225,0.9046631
3218730370880094848,88.34953182164556,0.1201360102292669,-0.1766357598596707,1.7427116075736937,-1.5857849417361112,19.412497,1.9493332,0.9292202
3218730370880599552,88.34156122737531,0.12121026359160685,-0.7772668953815575,1.2859414835712848,0.015130111717489087,19.770834,1.6500092,0.802824
3218730370883297408,88.35889999506671,0.1186798060179042,,,,20.854076,1.4673233,0.9694805
3218730375174071168,88.34874413864658,0.12038546187948986,,,,20.953667,3.2645283,1.5190487
