,source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,g_rp,cluster,prob
18,3218826754241832960,88.4280482463229,0.26972190431063153,0.8861141510609122,-2.9406395088865,4.13552523347764,14.187609,1.4968004,0.81333065,0,0.002287099728281211
19,3218826784304884736,88.42809613386976,0.2730268308549351,-0.7894817190457444,-0.6306642135508427,-0.17102117023640848,19.91925,1.5977649999999999,0.9753208000000001,0,0.034604679837246424
20,3218826784304885376,88.43238899873856,0.27777671318722097,1.277861481331851,-3.198336806498322,1.1432446977212214,19.374784,2.605341,1.215311,0,0.016755291220765287
21,3218826784304886016,88.42691296540335,0.2857263187935848,0.5867782283597003,-2.29227271399396,3.5390392390508274,18.559193,2.1920033,1.0765591,0,0.0017413811576384099
22,3218826788601567360,88.42278269792334,0.2837407198716338,1.816759685493521,-7.0231729845368935,3.1359047743542745,14.008632999999998,1.357564,0.7584057,1,0.9337232932455645
23,3218826788601568512,88.42966417604902,0.2754792343564918,0.8784079258521821,-2.704180084865736,4.402004928556718,14.18873,1.5546932,0.8357829999999999,0,0.0021266421215583335
25,3218826853024363648,88.42320248902763,0.2935906389720838,-0.5787110563494479,0.008264897658239562,1.4589441069003015,20.215908,1.7135811,0.920166,0,0.01233185925669757
26,3218826853025523968,88.41890716765471,0.28722587729649224,0.16343307623454675,1.963934462712748,-0.085326482000748,19.59522,1.7180824000000001,0.8669338,0,0.003448855754550939
27,3218826853025524224,88.42571768527121,0.2875531455108909,0.6771791798131107,2.761451784686535,-1.385358933528061,18.299957,2.018383,1.0158901,0,0.010292978954021285
28,3218826853025526400,88.4123331832341,0.2909115555820299,0.9145127977904716,-2.8549160389549217,4.245817419031138,16.380451,1.672121,0.87724686,0,0.0020397832402207863
29,3218826853025526784,88.41892385036671,0.2921148469843908,0.6024352050144031,7.101239994546996,0.627356316777703,17.887749,1.8375263,0.92769814,1,0.9999075272248316
30,3218826853027818368,88.41291238266287,0.29175188594831425,2.9492281720804114,-0.6569099872252429,-2.2047622169345584,20.480295,2.0352287000000002,1.157383,1,0.9998351537030878
31,3218826857321046656,88.41939079120839,0.28230349225747675,0.3565158015601346,-0.7392755987865266,-1.4208501174216903,16.950718,1.6087704,0.8522700999999999,0,0.0036246664274177647
32,3218827230982637696,88.47225105028951,0.2678218095831454,0.5090860089156586,-0.09278817371443296,1.63857674102157,16.177628,2.0594025,1.0092430000000001,0,0.0015646612987873293
33,3218827265342375424,88.48248019677881,0.2674435669575745,-0.6303668946785862,-0.22772327250139854,-0.6624060273776744,20.026167,1.96805,0.9280739,0,0.0160011943946801
34,3218827265342376960,88.47937397696465,0.27094035878654826,0.6405131479878546,-0.2609261465185512,-2.1479277635966603,18.856445,1.8917941999999999,0.91747856,0,0.006236231985454592
35,3218827265342377984,88.48965177554918,0.2730906661516421,0.6896013144693501,-0.17856133829167126,0.465670242921895,19.49446,1.5908108,0.83179474,0,0.0016580142325235343
36,3218827334067076096,88.51702314174433,0.28642682270001435,0.6360002476099196,-3.9233997783834234,-0.8006772047894158,20.786009,1.7699928,0.71928215,0,0.267776546988551
